model_name;user_id;hotkey_count;technique_id;log_likelyhood;n_params;N;p1;p2;p3;p4;p5;p6;p7;p8;p9;p10
RW;7;507;1;-2037.3172871132376;2;715;0.0;5.5;0.3;-1;-1;-1;-1;-1;-1;-1
RW;8;532;2;-1448.1175135353621;2;717;0.0;5.5;0.3;-1;-1;-1;-1;-1;-1;-1
RW;9;557;0;-1913.4983457359197;2;720;0.0;5.5;0.3;-1;-1;-1;-1;-1;-1;-1
RW;10;370;1;-1237.451449575345;2;720;0.0;5.5;0.3;-1;-1;-1;-1;-1;-1;-1
RW;11;582;2;-1567.9001883277128;2;720;0.0;5.5;0.3;-1;-1;-1;-1;-1;-1;-1
RW;12;0;0;-337.6425525728966;2;720;0.0;5.5;0.3;-1;-1;-1;-1;-1;-1;-1
RW;13;641;1;-1925.4005798232538;2;720;0.0;5.5;0.3;-1;-1;-1;-1;-1;-1;-1
RW;14;352;2;-1020.3974203103439;2;720;0.0;5.5;0.3;-1;-1;-1;-1;-1;-1;-1
RW;0;0;0;-309.67791549384674;2;720;0.0;6.0;0.3;-1;-1;-1;-1;-1;-1;-1
RW;1;339;1;-1177.0261740762912;2;720;0.0;6.0;0.3;-1;-1;-1;-1;-1;-1;-1
RW;2;479;2;-1400.8093927463663;2;711;0.0;6.0;0.3;-1;-1;-1;-1;-1;-1;-1
RW;3;0;0;-296.69366012584686;2;720;0.0;6.0;0.3;-1;-1;-1;-1;-1;-1;-1
RW;4;504;1;-1631.4751119563073;2;720;0.0;6.0;0.3;-1;-1;-1;-1;-1;-1;-1
RW;5;542;2;-1566.3973107438267;2;720;0.0;6.0;0.3;-1;-1;-1;-1;-1;-1;-1
RW;6;0;0;-296.69366012584686;2;720;0.0;6.0;0.3;-1;-1;-1;-1;-1;-1;-1
RW;7;507;1;-2151.381805110154;2;715;0.0;6.0;0.3;-1;-1;-1;-1;-1;-1;-1
RW;8;532;2;-1539.7666998876082;2;717;0.0;6.0;0.3;-1;-1;-1;-1;-1;-1;-1
RW;9;557;0;-2015.8090708491134;2;720;0.0;6.0;0.3;-1;-1;-1;-1;-1;-1;-1
RW;10;370;1;-1278.3033659466946;2;720;0.0;6.0;0.3;-1;-1;-1;-1;-1;-1;-1
RW;11;582;2;-1670.27135368783;2;720;0.0;6.0;0.3;-1;-1;-1;-1;-1;-1;-1
RW;12;0;0;-296.69366012584686;2;720;0.0;6.0;0.3;-1;-1;-1;-1;-1;-1;-1
RW;13;641;1;-2028.7933262171134;2;720;0.0;6.0;0.3;-1;-1;-1;-1;-1;-1;-1
RW;14;352;2;-1072.9956067598143;2;720;0.0;6.0;0.3;-1;-1;-1;-1;-1;-1;-1
RW;0;0;0;-274.17416897368076;2;720;0.0;6.5;0.3;-1;-1;-1;-1;-1;-1;-1
RW;1;339;1;-1213.8014491046517;2;720;0.0;6.5;0.3;-1;-1;-1;-1;-1;-1;-1
RW;2;479;2;-1483.9964919800418;2;711;0.0;6.5;0.3;-1;-1;-1;-1;-1;-1;-1
RW;3;0;0;-260.1078923250143;2;720;0.0;6.5;0.3;-1;-1;-1;-1;-1;-1;-1
RW;4;504;1;-1706.1211318080047;2;720;0.0;6.5;0.3;-1;-1;-1;-1;-1;-1;-1
RW;5;542;2;-1662.9587573613305;2;720;0.0;6.5;0.3;-1;-1;-1;-1;-1;-1;-1
RW;6;0;0;-260.1078923250143;2;720;0.0;6.5;0.3;-1;-1;-1;-1;-1;-1;-1
RW;7;507;1;-2269.7791482766334;2;715;0.0;6.5;0.3;-1;-1;-1;-1;-1;-1;-1
RW;8;532;2;-1634.2504775279679;2;717;0.0;6.5;0.3;-1;-1;-1;-1;-1;-1;-1
RW;9;557;0;-2122.482920608563;2;720;0.0;6.5;0.3;-1;-1;-1;-1;-1;-1;-1
RW;10;370;1;-1323.5184069642562;2;720;0.0;6.5;0.3;-1;-1;-1;-1;-1;-1;-1
RW;11;582;2;-1775.4889705506723;2;720;0.0;6.5;0.3;-1;-1;-1;-1;-1;-1;-1
RW;12;0;0;-260.1078923250143;2;720;0.0;6.5;0.3;-1;-1;-1;-1;-1;-1;-1
RW;13;641;1;-2136.549197257231;2;720;0.0;6.5;0.3;-1;-1;-1;-1;-1;-1;-1
RW;14;352;2;-1128.4402447119512;2;720;0.0;6.5;0.3;-1;-1;-1;-1;-1;-1;-1
RW;0;0;0;-242.70052343395187;2;720;0.0;7.0;0.3;-1;-1;-1;-1;-1;-1;-1
RW;1;339;1;-1254.6068251134734;2;720;0.0;7.0;0.3;-1;-1;-1;-1;-1;-1;-1
RW;2;479;2;-1569.7018057577056;2;711;0.0;7.0;0.3;-1;-1;-1;-1;-1;-1;-1
RW;3;0;0;-227.5522255046181;2;720;0.0;7.0;0.3;-1;-1;-1;-1;-1;-1;-1
RW;4;504;1;-1784.7972526401693;2;720;0.0;7.0;0.3;-1;-1;-1;-1;-1;-1;-1
RW;5;542;2;-1762.070294656276;2;720;0.0;7.0;0.3;-1;-1;-1;-1;-1;-1;-1
RW;6;0;0;-227.5522255046181;2;720;0.0;7.0;0.3;-1;-1;-1;-1;-1;-1;-1
RW;7;507;1;-2392.178605611193;2;715;0.0;7.0;0.3;-1;-1;-1;-1;-1;-1;-1
RW;8;532;2;-1731.2737204679531;2;717;0.0;7.0;0.3;-1;-1;-1;-1;-1;-1;-1
RW;9;557;0;-2233.1868713484673;2;720;0.0;7.0;0.3;-1;-1;-1;-1;-1;-1;-1
RW;10;370;1;-1372.763548962279;2;720;0.0;7.0;0.3;-1;-1;-1;-1;-1;-1;-1
RW;11;582;2;-1883.2566780909501;2;720;0.0;7.0;0.3;-1;-1;-1;-1;-1;-1;-1
RW;12;0;0;-227.5522255046181;2;720;0.0;7.0;0.3;-1;-1;-1;-1;-1;-1;-1
RW;13;641;1;-2248.3351692778024;2;720;0.0;7.0;0.3;-1;-1;-1;-1;-1;-1;-1
RW;14;352;2;-1186.4349733415677;2;720;0.0;7.0;0.3;-1;-1;-1;-1;-1;-1;-1
RW;0;0;0;-214.92060651886686;2;720;0.0;7.5;0.3;-1;-1;-1;-1;-1;-1;-1
RW;1;339;1;-1299.1059297469212;2;720;0.0;7.5;0.3;-1;-1;-1;-1;-1;-1;-1
RW;2;479;2;-1657.6520768094374;2;711;0.0;7.5;0.3;-1;-1;-1;-1;-1;-1;-1
RW;3;0;0;-198.690287308866;2;720;0.0;7.5;0.3;-1;-1;-1;-1;-1;-1;-1
RW;4;504;1;-1867.1671020969436;2;720;0.0;7.5;0.3;-1;-1;-1;-1;-1;-1;-1
RW;5;542;2;-1863.4552064059674;2;720;0.0;7.5;0.3;-1;-1;-1;-1;-1;-1;-1
RW;6;0;0;-198.690287308866;2;720;0.0;7.5;0.3;-1;-1;-1;-1;-1;-1;-1
RW;7;507;1;-2518.2461406771245;2;715;0.0;7.5;0.3;-1;-1;-1;-1;-1;-1;-1
RW;8;532;2;-1830.5608654691284;2;717;0.0;7.5;0.3;-1;-1;-1;-1;-1;-1;-1
RW;9;557;0;-2347.584550712975;2;720;0.0;7.5;0.3;-1;-1;-1;-1;-1;-1;-1
RW;10;370;1;-1425.7024195849267;2;720;0.0;7.5;0.3;-1;-1;-1;-1;-1;-1;-1
RW;11;582;2;-1993.2977600859736;2;720;0.0;7.5;0.3;-1;-1;-1;-1;-1;-1;-1
RW;12;0;0;-198.690287308866;2;720;0.0;7.5;0.3;-1;-1;-1;-1;-1;-1;-1
RW;13;641;1;-2363.8148699229764;2;720;0.0;7.5;0.3;-1;-1;-1;-1;-1;-1;-1
RW;14;352;2;-1246.703076425945;2;720;0.0;7.5;0.3;-1;-1;-1;-1;-1;-1;-1
RW;0;0;0;-190.50212299530347;2;720;0.0;8.0;0.3;-1;-1;-1;-1;-1;-1;-1
RW;1;339;1;-1346.9664677718797;2;720;0.0;8.0;0.3;-1;-1;-1;-1;-1;-1;-1
RW;2;479;2;-1747.5949382105111;2;711;0.0;8.0;0.3;-1;-1;-1;-1;-1;-1;-1
RW;3;0;0;-173.18978250463562;2;720;0.0;8.0;0.3;-1;-1;-1;-1;-1;-1;-1
